station_distance,total_price,area,next_use,city_planning,age,renovation_flg,number_of_floor,kitchen_level,service_room
4,1.1e+07,15,住宅,第２種住居地域,35,0,1,R,0
6,2.7e+07,25,住宅,商業地域,4,0,1,K,0
4,2.8e+07,55,住宅,第１種住居地域,49,1,2,DK,0
2,3.2e+07,20,住宅,商業地域,8,0,1,K,0
1,6.2e+07,115,住宅,第１種住居地域,45,0,4,LDK,0
5,2.2e+07,20,住宅,商業地域,20,0,1,K,0
3,4.9e+07,60,住宅,第１種住居地域,18,0,2,LDK,0
3,9300000,20,その他,第１種住居地域,15,0,1,K,0
5,2.7e+07,25,住宅,商業地域,14,0,1,K,0
1,3.6e+07,25,住宅,商業地域,3,0,1,K,0
1,3.8e+07,25,住宅,商業地域,3,0,1,K,0
1,3.8e+07,25,住宅,商業地域,3,0,1,K,0
3,5e+07,60,住宅,第１種住居地域,15,0,2,LDK,0
3,1.7e+07,20,住宅,商業地域,18,0,1,K,0
6,2.9e+07,30,住宅,第２種住居地域,14,0,1,K,0
3,1.9e+07,15,その他,商業地域,18,0,1,K,0
6,2.6e+07,50,住宅,第１種中高層住居専用地域,48,0,1,LDK,0
1,5.9e+07,60,住宅,商業地域,14,0,2,LDK,0
8,5.4e+07,55,住宅,第１種住居地域,17,1,2,DK,0
4,1.9e+07,20,住宅,準工業地域,12,0,1,K,0
4,1.4e+07,15,住宅,準工業地域,21,0,1,K,0
3,2.5e+07,25,住宅,準工業地域,12,0,1,K,0
4,2.2e+07,20,住宅,準工業地域,12,0,1,K,0
3,2.2e+07,20,住宅,商業地域,15,1,1,DK,0
3,3.7e+07,35,住宅,近隣商業地域,37,1,2,DK,0
1,4.1e+07,30,住宅,商業地域,13,0,2,LDK,0
2,1.8e+07,20,住宅,商業地域,17,0,1,K,0
0,2.3e+07,25,住宅,商業地域,34,1,1,R,0
0,1.9e+07,25,住宅,商業地域,34,1,1,K,0
2,3.3e+07,35,住宅,近隣商業地域,37,1,2,DK,0
3,2.2e+07,20,その他,商業地域,15,0,1,K,0
2,2e+07,20,住宅,商業地域,15,0,1,K,0
1,4.2e+07,55,住宅,商業地域,21,0,3,LDK,0
4,2.5e+07,30,住宅,近隣商業地域,39,1,1,DK,0
6,3.3e+07,25,その他,近隣商業地域,15,0,2,DK,0
6,3e+07,30,住宅,第１種住居地域,16,0,1,LDK,0
5,8.7e+07,75,住宅,第１種住居地域,16,0,3,LDK,0
5,6.4e+07,55,住宅,第１種住居地域,7,0,2,LDK,0
7,2.6e+07,45,住宅,準工業地域,48,1,2,LDK,0
8,2.7e+07,25,住宅,第１種中高層住居専用地域,18,0,1,K,0
4,2.2e+07,20,住宅,商業地域,14,0,1,K,0
5,1.2e+07,20,住宅,商業地域,17,0,1,K,0
11,2.2e+07,20,住宅,第１種中高層住居専用地域,15,0,1,K,0
9,5.7e+07,70,住宅,商業地域,20,0,3,LDK,0
9,2.1e+07,20,住宅,第１種中高層住居専用地域,15,0,1,K,0
4,2.2e+07,20,住宅,商業地域,14,0,1,K,0
4,4.2e+07,40,住宅,第１種住居地域,5,1,1,LDK,0
9,3.7e+07,35,住宅,商業地域,17,0,1,LDK,0
8,2.3e+07,20,その他,商業地域,18,0,1,K,0
2,1.4e+07,20,住宅,商業地域,38,0,1,K,0
2,1.3e+07,20,事務所,商業地域,39,0,1,K,0
11,5e+07,55,住宅,商業地域,6,0,2,LDK,0
4,1.8e+07,20,住宅,商業地域,14,0,1,DK,0
2,6e+06,20,その他,商業地域,39,0,1,K,0
1,1.2e+07,25,事務所,商業地域,39,0,1,R,0
11,4.5e+07,50,住宅,商業地域,6,0,2,LDK,0
2,2.1e+07,20,事務所,商業地域,39,0,1,K,0
4,4.3e+07,50,住宅,第１種中高層住居専用地域,20,0,2,LDK,0
11,3.7e+07,50,住宅,第１種住居地域,24,1,1,LDK,0
5,5.1e+07,65,住宅,準工業地域,18,1,3,LDK,0
2,1.1e+07,20,住宅,商業地域,38,0,1,K,0
3,3.2e+07,40,住宅,第１種中高層住居専用地域,13,0,1,LDK,0
8,2e+07,20,住宅,第１種住居地域,21,0,1,K,0
11,2.4e+07,20,住宅,商業地域,8,0,1,K,0
9,2e+07,20,住宅,第１種中高層住居専用地域,13,1,1,K,0
2,2.7e+07,25,住宅,近隣商業地域,4,0,1,K,0
10,4.3e+07,50,住宅,第１種中高層住居専用地域,11,0,2,LDK,0
8,7.5e+07,90,住宅,商業地域,36,1,2,DK,0
3,9e+06,20,事務所,商業地域,34,0,1,K,0
8,1.7e+07,20,住宅,商業地域,18,0,1,K,0
5,1.2e+07,15,住宅,商業地域,33,0,1,K,0
5,1.9e+07,20,住宅,商業地域,17,0,1,K,0
3,4.9e+07,50,住宅,近隣商業地域,4,0,2,LDK,0
1,2.2e+07,15,その他,商業地域,12,1,1,K,0
1,1.6e+07,25,住宅,商業地域,45,1,1,K,0
2,1.1e+07,25,住宅,商業地域,45,0,1,K,0
1,1.4e+07,15,住宅,商業地域,31,0,1,K,0
1,2.6e+07,25,住宅,商業地域,31,0,1,DK,0
1,3.7e+07,40,その他,商業地域,11,0,1,DK,0
1,2.5e+07,25,住宅,商業地域,31,0,1,K,0
4,3.8e+07,40,住宅,準工業地域,13,0,1,DK,0
8,3.1e+07,55,その他,第２種中高層住居専用地域,39,0,2,LDK,0
5,2.2e+07,20,住宅,商業地域,14,0,1,K,0
4,2e+07,20,住宅,商業地域,18,0,1,K,0
4,1.8e+07,20,住宅,商業地域,18,1,1,K,0
5,1.7e+07,20,住宅,商業地域,14,0,1,K,0
3,5.8e+07,55,住宅,商業地域,14,0,2,LDK,0
4,1.8e+07,20,住宅,商業地域,18,1,1,K,0
5,1.7e+07,20,住宅,商業地域,14,0,1,K,0
3,2.4e+07,25,その他,第１種住居地域,9,0,1,K,0
8,7e+07,80,住宅,商業地域,16,0,2,LDK,0
7,6.5e+07,65,住宅,第１種中高層住居専用地域,9,0,2,LDK,0
4,2.1e+07,45,その他,商業地域,46,0,2,LDK,0
9,6.6e+07,80,住宅,商業地域,16,0,2,LDK,0
4,9e+06,30,住宅,商業地域,46,0,2,DK,0
4,1.8e+07,35,住宅,商業地域,46,0,1,DK,0
7,8.8e+07,65,住宅,商業地域,3,0,3,LDK,0
7,9e+07,75,住宅,商業地域,3,0,3,LDK,0
5,5.9e+07,50,住宅,商業地域,3,0,2,DK,0
7,5e+07,45,住宅,商業地域,3,0,1,LDK,0
5,6.1e+07,50,住宅,商業地域,3,1,2,LDK,0
5,5.5e+07,40,住宅,商業地域,3,0,1,LDK,0
5,4e+07,30,住宅,商業地域,3,0,1,K,0
5,5.5e+07,45,住宅,商業地域,3,0,1,LDK,0
5,3.9e+07,30,住宅,商業地域,3,0,1,K,0
7,3.8e+07,30,住宅,商業地域,3,0,1,K,0
5,4.6e+07,35,住宅,商業地域,3,0,1,K,0
5,4e+07,30,住宅,商業地域,3,0,1,K,0
6,3.5e+07,30,住宅,商業地域,3,0,1,K,0
5,3.9e+07,60,住宅,第１種中高層住居専用地域,45,1,2,LDK,0
6,5.8e+07,65,住宅,第１種住居地域,19,1,2,LDK,0
4,6.3e+07,55,住宅,第１種住居地域,7,0,2,LDK,0
3,1.8e+07,20,住宅,第１種中高層住居専用地域,13,0,1,K,0
4,3e+07,50,住宅,第１種中高層住居専用地域,50,1,1,LDK,0
3,3.4e+07,40,住宅,第１種中高層住居専用地域,13,0,1,LDK,0
3,2e+07,20,住宅,第１種中高層住居専用地域,13,0,1,K,0
3,2.1e+07,20,住宅,第１種中高層住居専用地域,13,0,1,K,0
9,6.9e+07,60,住宅,近隣商業地域,17,0,2,LDK,0
7,7.4e+07,55,住宅,近隣商業地域,2,1,2,LDK,0
9,2.4e+07,50,住宅,第１種住居地域,30,0,2,LDK,0
4,7.2e+07,105,住宅,第１種低層住居専用地域,9,1,2,LDK,0
2,5.8e+07,30,住宅,第１種中高層住居専用地域,9,1,2,LDK,0
2,1.8e+07,15,住宅,近隣商業地域,32,0,1,K,0
2,8.7e+07,125,住宅,第１種中高層住居専用地域,9,0,3,LDK,0
9,2.2e+07,50,事務所,第１種住居地域,30,0,2,LDK,0
9,3.5e+07,50,住宅,第１種住居地域,30,0,2,LDK,0
3,1.8e+07,20,住宅,近隣商業地域,15,1,1,K,0
3,1.2e+07,15,住宅,近隣商業地域,23,0,1,K,0
6,1.8e+07,20,住宅,第１種中高層住居専用地域,22,1,1,DK,0
5,3.6e+07,60,住宅,近隣商業地域,34,0,3,LDK,0
6,3e+07,40,住宅,近隣商業地域,34,1,1,LDK,0
4,1.8e+07,20,住宅,近隣商業地域,15,0,1,DK,0
3,2.1e+07,25,住宅,近隣商業地域,19,0,1,K,0
3,2e+07,20,住宅,近隣商業地域,15,0,1,K,0
8,3.4e+07,35,住宅,近隣商業地域,4,1,1,LDK,0
8,2.2e+07,15,住宅,近隣商業地域,16,0,1,K,0
8,4.1e+07,55,住宅,近隣商業地域,18,0,2,LDK,0
3,1.1e+07,15,その他,準工業地域,31,1,1,K,0
4,6.4e+07,70,住宅,第１種低層住居専用地域,6,0,3,LDK,0
11,1.6e+07,20,住宅,近隣商業地域,16,0,1,K,0
3,7300000,15,住宅,準工業地域,31,0,1,K,0
3,9700000,15,住宅,準工業地域,31,0,1,K,0
10,4.3e+07,55,住宅,近隣商業地域,14,0,1,LDK,0
3,4.3e+07,55,住宅,第１種低層住居専用地域,7,0,2,LDK,0
3,1.1e+07,15,住宅,準工業地域,26,0,1,K,0
5,6.6e+07,75,住宅,第１種中高層住居専用地域,15,1,2,LDK,0
5,4.9e+07,60,住宅,第１種中高層住居専用地域,15,1,3,LDK,0
5,4.7e+07,60,住宅,第１種中高層住居専用地域,15,0,3,LDK,0
5,6.4e+07,50,住宅,準工業地域,3,0,2,LDK,0
5,3.4e+07,35,住宅,第２種中高層住居専用地域,16,0,1,LDK,0
5,3.3e+07,30,住宅,第２種中高層住居専用地域,16,0,1,LDK,0
5,1.9e+07,20,住宅,近隣商業地域,19,0,1,K,0
6,1.2e+07,15,住宅,第１種住居地域,24,1,1,K,0
6,1.7e+07,20,住宅,第１種住居地域,13,0,1,K,0
6,1.9e+07,20,住宅,第１種住居地域,13,0,1,K,0
6,2.1e+07,20,住宅,第１種住居地域,13,0,1,K,0
7,8800000,15,その他,準工業地域,30,1,1,K,0
3,1.3e+07,15,その他,第１種住居地域,26,0,1,K,0
2,3.5e+07,60,住宅,第２種住居地域,17,0,3,LDK,0
5,2.2e+07,20,住宅,準工業地域,14,1,1,K,0
9,1.5e+07,15,住宅,第１種住居地域,19,0,1,K,0
9,3.1e+07,25,住宅,近隣商業地域,2,0,1,K,0
0,4e+07,55,住宅,近隣商業地域,18,1,2,LDK,0
7,8400000,15,住宅,準工業地域,30,0,1,K,0
0,8500000,15,住宅,近隣商業地域,24,0,1,K,0
9,2.9e+07,25,住宅,近隣商業地域,2,0,1,K,0
0,9500000,15,その他,近隣商業地域,24,0,1,K,0
9,1.5e+07,30,住宅,第１種住居地域,31,0,2,DK,0
6,9500000,15,その他,準工業地域,23,0,1,K,0
10,9500000,15,その他,準工業地域,23,0,1,K,0
6,2.1e+07,20,住宅,第２種中高層住居専用地域,16,0,1,K,0
7,2.5e+07,25,住宅,第１種住居地域,2,0,1,K,0
8,3.2e+07,25,住宅,近隣商業地域,2,0,1,K,0
5,1.6e+07,20,住宅,第２種中高層住居専用地域,16,0,1,K,0
0,3e+07,50,住宅,近隣商業地域,32,1,1,LDK,0
10,5.2e+07,90,住宅,準工業地域,21,1,4,LDK,0
6,1.5e+07,15,住宅,準工業地域,18,0,1,K,0
2,4.1e+07,50,住宅,第２種住居地域,14,0,2,DK,0
7,1.9e+07,20,住宅,準工業地域,15,0,1,K,0
7,2.2e+07,20,その他,準工業地域,15,0,1,K,0
5,1.7e+07,20,住宅,準工業地域,15,0,1,K,0
6,4.3e+07,40,住宅,準工業地域,6,0,1,LDK,0
5,1.4e+07,20,住宅,準工業地域,28,0,1,K,0
5,1.6e+07,20,住宅,準工業地域,28,1,1,K,0
6,8.2e+07,75,住宅,商業地域,17,0,2,LDK,0
8,4.6e+07,40,住宅,商業地域,6,0,1,LDK,0
6,6.9e+07,85,住宅,商業地域,38,1,3,LDK,0
6,6.3e+07,85,住宅,商業地域,38,1,3,LDK,0
7,2.3e+07,45,住宅,商業地域,37,0,1,R,0
6,2.8e+07,45,住宅,商業地域,38,0,1,DK,0
7,1.2e+07,20,住宅,商業地域,38,0,1,R,0
6,4.3e+07,45,住宅,商業地域,38,1,1,LDK,0
8,9800000,20,住宅,商業地域,38,0,1,K,0
7,9500000,10,事務所,商業地域,37,0,1,K,0
6,9.2e+07,125,住宅,商業地域,39,1,3,LDK,0
2,4e+07,55,住宅,商業地域,35,1,2,LDK,0
7,5.8e+07,65,住宅,商業地域,17,0,2,LDK,0
3,2.3e+07,20,住宅,商業地域,19,0,1,K,0
3,2.2e+07,20,住宅,商業地域,17,1,1,K,0
7,7.1e+07,75,住宅,商業地域,17,0,2,LDK,0
5,2.2e+07,20,住宅,商業地域,15,0,1,K,0
2,3e+07,45,住宅,商業地域,35,0,1,DK,0
5,2.3e+07,20,住宅,商業地域,15,0,1,K,0
7,4.2e+07,50,住宅,商業地域,17,1,2,LDK,0
6,9e+06,15,住宅,商業地域,33,0,1,K,0
2,4.5e+07,55,住宅,商業地域,35,1,2,LDK,0
6,4.8e+07,55,住宅,商業地域,39,1,3,LDK,0
7,2.7e+07,30,住宅,商業地域,24,0,1,DK,0
2,3e+07,45,住宅,商業地域,35,0,2,DK,0
7,6e+07,55,住宅,商業地域,12,0,1,LDK,0
2,2.2e+07,15,住宅,商業地域,16,0,1,K,0
4,3.7e+07,30,住宅,商業地域,15,0,1,DK,0
3,6.2e+07,55,住宅,商業地域,13,0,1,LDK,0
4,1.8e+07,15,その他,商業地域,16,0,1,K,0
1,3.8e+07,50,住宅,商業地域,15,0,2,LDK,0
6,3.2e+07,50,住宅,商業地域,37,0,1,LDK,0
4,2.5e+07,20,その他,商業地域,14,0,1,K,0
2,2.2e+07,15,住宅,商業地域,16,1,1,K,0
2,2.2e+07,20,住宅,商業地域,16,1,1,K,0
4,2.6e+07,20,住宅,商業地域,13,0,1,K,0
3,3.2e+07,45,住宅,商業地域,37,0,1,LDK,0
4,2.5e+07,20,住宅,商業地域,13,0,1,DK,0
3,2.4e+07,25,住宅,第２種中高層住居専用地域,14,0,1,K,0
2,2.3e+07,15,住宅,商業地域,16,0,1,K,0
3,2.6e+07,20,住宅,第２種中高層住居専用地域,8,0,1,K,0
3,2.4e+07,25,住宅,第２種中高層住居専用地域,14,0,1,K,0
3,2.2e+07,25,住宅,第２種中高層住居専用地域,22,1,1,DK,0
1,1.9e+07,20,住宅,商業地域,15,0,1,K,0
2,2e+07,20,住宅,商業地域,16,1,1,K,0
7,3.4e+07,35,住宅,商業地域,40,1,1,LDK,0
2,1.9e+07,15,住宅,商業地域,16,0,1,K,0
3,5.7e+07,50,住宅,第２種中高層住居専用地域,3,0,2,LDK,0
3,2.4e+07,20,住宅,第２種住居地域,7,0,1,K,0
1,2.2e+07,20,住宅,商業地域,15,0,1,K,0
2,2e+07,25,その他,商業地域,16,0,1,K,0
1,2.7e+07,20,その他,商業地域,15,0,1,K,0
6,2.7e+07,35,住宅,第２種住居地域,17,0,2,DK,0
5,2e+07,20,住宅,第２種住居地域,13,0,1,K,0
4,2.8e+07,30,住宅,商業地域,20,0,1,LDK,0
4,2.8e+07,25,住宅,商業地域,5,0,1,K,0
1,2.2e+07,20,住宅,商業地域,15,0,1,K,0
4,2.9e+07,30,住宅,商業地域,15,0,1,DK,0
3,2e+07,25,住宅,第２種中高層住居専用地域,14,0,1,K,0
4,2.6e+07,25,住宅,商業地域,5,0,1,K,0
4,2.6e+07,25,住宅,商業地域,13,0,1,K,0
7,2.3e+07,20,住宅,商業地域,14,0,1,K,0
1,2.4e+07,20,その他,商業地域,15,1,1,K,0
4,2.2e+07,20,住宅,商業地域,14,0,1,K,0
1,2.2e+07,20,住宅,商業地域,15,0,1,K,0
1,1.9e+07,20,住宅,商業地域,15,0,1,K,0
3,3.7e+07,45,住宅,商業地域,13,0,1,LDK,0
3,2.3e+07,20,住宅,第２種住居地域,7,1,1,K,0
4,2.3e+07,20,住宅,商業地域,14,0,1,K,0
4,2.3e+07,25,住宅,商業地域,13,0,1,K,0
3,2.5e+07,25,その他,第２種中高層住居専用地域,14,0,1,K,0
1,2e+07,20,住宅,商業地域,15,0,1,K,0
4,2.3e+07,20,住宅,商業地域,13,0,1,K,0
6,1.2e+07,20,住宅,商業地域,35,0,1,R,0
6,2e+07,20,住宅,商業地域,35,1,1,K,0
6,1.9e+07,20,住宅,商業地域,13,1,1,K,0
8,1e+07,25,住宅,商業地域,41,0,1,K,0
7,1.8e+07,15,住宅,商業地域,16,0,1,K,0
6,9e+06,20,住宅,商業地域,35,0,1,DK,0
6,3e+07,35,住宅,商業地域,14,0,1,LDK,0
8,2e+07,20,住宅,商業地域,13,0,1,K,0
7,4.2e+07,50,住宅,第１種中高層住居専用地域,20,0,2,LDK,0
16,2.8e+07,30,住宅,商業地域,14,1,1,DK,0
8,1.6e+07,20,住宅,第１種中高層住居専用地域,18,0,1,K,0
14,3.8e+07,60,住宅,商業地域,37,1,2,LDK,0
16,1.6e+07,30,住宅,商業地域,14,0,1,K,0
7,2.1e+07,20,住宅,第１種中高層住居専用地域,16,0,1,K,0
10,2.3e+07,25,住宅,商業地域,21,0,1,R,0
8,2e+07,20,住宅,第１種中高層住居専用地域,18,0,1,K,0
8,1.8e+07,20,住宅,第１種中高層住居専用地域,18,0,1,K,0
12,2.8e+07,30,住宅,商業地域,18,1,1,LDK,0
10,1.8e+07,20,住宅,商業地域,21,0,1,K,0
12,4.2e+07,50,住宅,商業地域,18,0,2,LDK,0
16,1.7e+07,30,住宅,商業地域,14,0,1,K,0
5,5.8e+07,50,住宅,第１種住居地域,2,0,2,LDK,0
4,4e+07,50,その他,第１種中高層住居専用地域,19,0,1,LDK,0
6,1.8e+07,20,住宅,第１種中高層住居専用地域,14,0,1,K,0
6,1.8e+07,20,住宅,第１種中高層住居専用地域,14,0,1,K,0
11,2.1e+07,20,その他,商業地域,16,0,1,K,0
4,6.4e+07,110,住宅,第１種住居地域,33,0,3,LDK,0
7,5.7e+07,70,住宅,商業地域,21,0,3,LDK,0
5,4.5e+07,45,住宅,商業地域,10,0,2,LDK,0
11,2e+07,20,住宅,商業地域,16,0,1,K,0
5,4.1e+07,50,住宅,商業地域,11,1,1,LDK,0
9,1.9e+07,20,住宅,商業地域,20,0,1,K,0
10,2.9e+07,60,住宅,準工業地域,39,0,3,LDK,0
9,9.8e+07,100,住宅,商業地域,25,1,2,LDK,0
9,6.7e+07,90,住宅,商業地域,25,0,2,LDK,0
9,1.7e+07,20,住宅,商業地域,20,0,1,K,0
4,4.4e+07,60,住宅,第１種住居地域,33,0,2,LDK,0
3,3.4e+07,30,住宅,近隣商業地域,20,1,1,DK,0
2,1.4e+07,20,住宅,商業地域,30,1,1,R,0
5,1.7e+07,20,住宅,準工業地域,15,0,1,K,0
9,3e+07,35,住宅,商業地域,30,1,1,DK,0
9,1.6e+07,20,住宅,商業地域,20,0,1,K,0
9,2.3e+07,20,住宅,商業地域,12,1,1,K,0
9,1.6e+07,20,住宅,準工業地域,15,0,1,K,0
9,8.1e+07,75,住宅,準工業地域,3,0,3,LDK,0
9,9e+06,20,その他,商業地域,32,0,1,K,0
9,8500000,20,その他,商業地域,32,0,1,K,0
11,6.7e+07,60,住宅,準工業地域,3,0,3,LDK,0
1,1.6e+07,35,住宅,近隣商業地域,47,0,2,DK,0
11,2.2e+07,20,その他,近隣商業地域,17,0,1,K,0
7,4.5e+07,50,住宅,第１種中高層住居専用地域,21,0,2,LDK,0
6,5.4e+07,55,住宅,近隣商業地域,15,0,2,LDK,0
3,5.8e+07,70,住宅,商業地域,17,0,3,LDK,0
1,4e+07,30,住宅,商業地域,3,0,1,LDK,0
4,1.7e+07,20,住宅,商業地域,17,0,1,K,0
2,2e+07,20,住宅,商業地域,9,0,1,K,0
2,1.9e+07,25,その他,近隣商業地域,8,0,1,K,0
2,1.9e+07,25,その他,近隣商業地域,8,0,1,K,0
2,2.2e+07,20,住宅,商業地域,9,0,1,K,0
1,2.5e+07,30,住宅,第１種住居地域,20,0,1,LDK,0
2,2.6e+07,25,住宅,近隣商業地域,8,0,1,K,0
0,1.1e+07,20,住宅,商業地域,47,0,1,DK,0
4,1.6e+07,20,住宅,商業地域,17,1,1,K,0
6,5.1e+07,50,住宅,第１種住居地域,8,0,2,LDK,0
6,4.4e+07,50,その他,第１種住居地域,8,0,2,LDK,0
5,2.4e+07,20,住宅,商業地域,10,0,1,K,0
9,2.9e+07,30,住宅,準工業地域,13,0,1,DK,0
9,7.4e+07,75,住宅,準工業地域,18,0,3,LDK,1
10,5.3e+07,70,住宅,準工業地域,19,0,3,LDK,0
8,8.1e+07,70,住宅,準工業地域,6,0,3,LDK,0
6,6e+06,20,住宅,商業地域,41,0,1,K,0
6,1.6e+07,20,住宅,商業地域,40,1,1,K,0
8,6.7e+07,70,住宅,準工業地域,18,0,3,LDK,0
8,6.6e+07,65,住宅,準工業地域,18,0,3,LDK,0
8,2.1e+07,15,住宅,準工業地域,17,0,1,K,0
8,1.8e+07,20,住宅,準工業地域,17,0,1,K,0
8,1.5e+07,15,住宅,準工業地域,17,0,1,K,0
8,1.5e+07,15,住宅,準工業地域,17,0,1,K,0
8,2e+07,15,住宅,準工業地域,17,1,1,K,0
4,4e+07,60,住宅,第１種住居地域,47,1,3,LDK,0
5,5.7e+07,65,住宅,第１種住居地域,5,0,3,LDK,0
3,5.5e+07,95,住宅,商業地域,23,0,3,LDK,0
5,4.1e+07,50,住宅,第１種住居地域,5,0,1,LDK,0
4,1.8e+07,20,その他,近隣商業地域,15,0,1,K,0
3,3.2e+07,25,住宅,近隣商業地域,4,1,1,K,0
6,1.2e+07,15,住宅,第１種住居地域,23,0,1,R,0
4,1.8e+07,15,その他,近隣商業地域,21,0,1,K,0
3,2.6e+07,20,住宅,近隣商業地域,9,1,1,K,0
8,5.1e+07,70,住宅,第１種中高層住居専用地域,30,0,2,LDK,0
5,6.1e+07,55,事務所,第１種住居地域,14,1,3,LDK,0
4,2.1e+07,30,その他,近隣商業地域,34,0,1,K,0
3,2.4e+07,20,住宅,近隣商業地域,10,0,1,K,0
3,2.4e+07,25,住宅,近隣商業地域,10,0,1,K,0
3,3.1e+07,25,住宅,近隣商業地域,4,0,1,K,0
3,3.2e+07,25,住宅,近隣商業地域,4,0,1,K,0
3,3.2e+07,25,住宅,近隣商業地域,4,0,1,K,0
3,3.3e+07,25,住宅,近隣商業地域,4,0,1,K,0
3,3.3e+07,25,住宅,近隣商業地域,4,0,1,K,0
2,2.8e+07,30,住宅,近隣商業地域,20,0,1,DK,0
3,3.2e+07,25,住宅,近隣商業地域,4,0,1,K,0
3,3e+07,25,住宅,近隣商業地域,4,0,1,K,0
4,1.4e+07,20,住宅,近隣商業地域,21,0,1,K,0
5,4.1e+07,40,その他,第１種住居地域,14,0,1,LDK,0
2,3.3e+07,50,その他,近隣商業地域,20,0,2,LDK,0
4,2.3e+07,20,住宅,近隣商業地域,15,0,1,K,0
4,2.1e+07,20,住宅,近隣商業地域,15,0,1,K,0
8,4.8e+07,75,住宅,第１種中高層住居専用地域,30,0,3,LDK,0
8,3.9e+07,40,住宅,第１種住居地域,9,0,1,LDK,0
10,3.8e+07,40,住宅,第１種住居地域,9,0,1,LDK,0
8,4.5e+07,50,住宅,第１種住居地域,9,0,1,LDK,0
1,3.2e+07,25,住宅,商業地域,7,0,1,K,0
2,1.6e+08,115,住宅,商業地域,14,0,3,LDK,0
2,3.9e+07,30,住宅,商業地域,11,0,1,LDK,0
2,1.4e+08,100,住宅,商業地域,14,0,2,LDK,0
0,2.4e+07,20,住宅,商業地域,15,0,1,K,0
2,1.4e+08,95,住宅,商業地域,14,0,3,LDK,0
1,2.6e+07,25,事務所,商業地域,7,0,1,K,0
0,2.2e+07,20,住宅,商業地域,15,0,1,K,0
3,5.2e+07,60,住宅,近隣商業地域,20,0,3,LDK,0
6,4e+07,40,住宅,近隣商業地域,12,1,1,LDK,0
8,1.7e+07,15,その他,第１種中高層住居専用地域,21,0,1,K,0
8,1.7e+07,15,住宅,第１種中高層住居専用地域,21,0,1,K,0
4,3.1e+07,35,住宅,近隣商業地域,17,0,1,DK,0
8,5.9e+07,70,住宅,第１種中高層住居専用地域,16,0,2,LDK,0
6,2.8e+07,35,住宅,第２種中高層住居専用地域,40,1,1,DK,0
6,8.3e+07,70,住宅,第２種中高層住居専用地域,12,1,3,LDK,0
4,2.7e+07,20,住宅,第１種住居地域,10,0,1,K,0
6,5.2e+07,70,住宅,第２種中高層住居専用地域,40,1,2,LDK,0
5,3.9e+07,45,住宅,商業地域,33,1,1,LDK,0
2,5e+07,40,住宅,商業地域,10,0,1,DK,0
2,2.7e+07,25,住宅,商業地域,6,0,1,K,0
2,4.2e+07,45,住宅,商業地域,10,0,1,LDK,0
6,1.3e+07,15,住宅,商業地域,21,0,1,K,0
6,1.2e+07,15,住宅,商業地域,21,0,1,K,0
3,2.1e+07,20,住宅,商業地域,14,0,1,K,0
3,1.9e+07,20,住宅,商業地域,14,0,1,K,0
1,1.2e+07,15,住宅,第２種住居地域,30,0,1,K,0
3,2.2e+07,20,住宅,商業地域,14,0,1,K,0
3,2.2e+07,20,住宅,商業地域,14,1,1,K,0
1,1.8e+07,15,住宅,第１種住居地域,19,0,1,K,0
2,3.5e+07,30,住宅,商業地域,15,0,1,DK,0
1,2e+07,15,住宅,第１種住居地域,19,1,1,K,0
7,1.6e+07,20,住宅,近隣商業地域,17,0,1,K,0
7,1.6e+07,20,住宅,近隣商業地域,17,0,1,K,0
3,2.1e+07,20,住宅,近隣商業地域,21,1,1,K,0
4,3e+07,35,住宅,第１種中高層住居専用地域,8,1,1,K,0
4,6.3e+07,70,住宅,第１種住居地域,20,0,3,LDK,0
3,2.8e+07,25,住宅,第１種住居地域,6,0,1,K,0
4,4.8e+07,60,住宅,第１種住居地域,20,0,2,LDK,0
4,3.8e+07,45,住宅,第１種中高層住居専用地域,8,1,1,LDK,0
6,3.1e+07,35,住宅,近隣商業地域,14,0,1,LDK,0
4,4.6e+07,45,住宅,第１種中高層住居専用地域,8,1,1,LDK,0
4,2.3e+07,25,その他,商業地域,15,0,1,K,0
5,3.2e+07,25,その他,商業地域,4,1,1,K,0
8,5.6e+07,75,その他,第１種住居地域,20,0,2,LDK,0
3,1.8e+08,200,住宅,第１種住居地域,34,0,2,LDK,0
0,3.7e+07,35,住宅,商業地域,14,0,1,LDK,0
2,7.9e+07,65,その他,商業地域,3,1,2,LDK,0
4,5.7e+07,50,住宅,商業地域,11,0,1,DK,0
4,2.5e+07,20,その他,商業地域,13,0,1,K,0
4,9900000,15,住宅,商業地域,40,0,1,K,0
3,1.5e+07,15,住宅,第１種住居地域,33,0,1,K,0
5,1.6e+07,20,その他,第１種住居地域,34,1,1,K,0
5,4.1e+07,35,住宅,第１種住居地域,4,0,1,LDK,0
8,4.5e+07,60,その他,近隣商業地域,19,0,2,LDK,0
9,8.1e+07,70,住宅,第１種中高層住居専用地域,13,0,2,LDK,0
9,7.9e+07,70,住宅,第１種中高層住居専用地域,13,0,2,LDK,0
9,6.3e+07,60,住宅,第１種中高層住居専用地域,13,0,2,LDK,0
8,5.7e+07,65,住宅,近隣商業地域,19,1,3,LDK,0
4,1.9e+07,20,住宅,商業地域,18,0,1,K,0
2,5.1e+07,50,住宅,商業地域,11,0,2,LDK,0
3,4e+07,60,住宅,第１種住居地域,16,0,3,LDK,0
1,4.7e+07,55,住宅,商業地域,15,0,1,LDK,0
